10.11.2020 18:10:36: '🌿  Jaka to melodia?🌿 BETA'# Client 'NeaK; started music quiz. 
18.11.2020 18:19:20: '🌿  Jaka to melodia?🌿 BETA'# Client '🌿  Jaka to melodia?🌿 BETA; passed song. 
18.11.2020 18:19:21: '🌿  Jaka to melodia?🌿 BETA'# Client '🌿  Jaka to melodia?🌿 BETA; started music quiz. 
18.11.2020 18:20:24: '🌿  Jaka to melodia?🌿 BETA'# Client 'NeaK; passed song. 
18.11.2020 18:20:24: '🌿  Jaka to melodia?🌿 BETA'# Client '🌿  Jaka to melodia?🌿 BETA; started music quiz. 
18.11.2020 18:21:09: '🌿  Jaka to melodia?🌿 BETA'# Client '.acey; passed song. 
18.11.2020 18:21:09: '🌿  Jaka to melodia?🌿 BETA'# Client '🌿  Jaka to melodia?🌿 BETA; started music quiz. 
18.11.2020 18:22:02: '🌿  Jaka to melodia?🌿 BETA'# Client 'NeaK; quessed!. 
18.11.2020 18:22:03: '🌿  Jaka to melodia?🌿 BETA'# Client '🌿  Jaka to melodia?🌿 BETA; passed song. 
18.11.2020 18:22:03: '🌿  Jaka to melodia?🌿 BETA'# Client '🌿  Jaka to melodia?🌿 BETA; started music quiz. 
18.11.2020 18:22:43: '🌿  Jaka to melodia?🌿 BETA'# Client 'NeaK; quessed!. 
18.11.2020 18:22:44: '🌿  Jaka to melodia?🌿 BETA'# Client '🌿  Jaka to melodia?🌿 BETA; passed song. 
18.11.2020 18:22:45: '🌿  Jaka to melodia?🌿 BETA'# Client '🌿  Jaka to melodia?🌿 BETA; started music quiz. 
18.11.2020 18:23:02: '🌿  Jaka to melodia?🌿 BETA'# Client 'NeaK; quessed!. 
18.11.2020 18:23:03: '🌿  Jaka to melodia?🌿 BETA'# Client '🌿  Jaka to melodia?🌿 BETA; passed song. 
18.11.2020 18:23:03: '🌿  Jaka to melodia?🌿 BETA'# Client '🌿  Jaka to melodia?🌿 BETA; started music quiz. 
18.11.2020 18:23:30: '🌿  Jaka to melodia?🌿 BETA'# Client 'Dr Joint; quessed!. 
18.11.2020 18:23:31: '🌿  Jaka to melodia?🌿 BETA'# Client '🌿  Jaka to melodia?🌿 BETA; passed song. 
18.11.2020 18:23:32: '🌿  Jaka to melodia?🌿 BETA'# Client '🌿  Jaka to melodia?🌿 BETA; started music quiz. 
18.11.2020 18:24:10: '🌿  Jaka to melodia?🌿 BETA'# Client 'NeaK; quessed!. 
18.11.2020 18:24:11: '🌿  Jaka to melodia?🌿 BETA'# Client '🌿  Jaka to melodia?🌿 BETA; passed song. 
18.11.2020 18:24:12: '🌿  Jaka to melodia?🌿 BETA'# Client '🌿  Jaka to melodia?🌿 BETA; started music quiz. 
18.11.2020 18:25:30: '🌿  Jaka to melodia?🌿 BETA'# Client 'NeaK; quessed!. 
18.11.2020 18:25:30: '🌿  Jaka to melodia?🌿 BETA'# Client '🌿  Jaka to melodia?🌿 BETA; passed song. 
18.11.2020 18:25:31: '🌿  Jaka to melodia?🌿 BETA'# Client '🌿  Jaka to melodia?🌿 BETA; started music quiz. 
18.11.2020 18:26:30: '🌿  Jaka to melodia?🌿 BETA'# Client 'NeaK; quessed!. 
18.11.2020 18:26:31: '🌿  Jaka to melodia?🌿 BETA'# Client '🌿  Jaka to melodia?🌿 BETA; passed song. 
18.11.2020 18:26:31: '🌿  Jaka to melodia?🌿 BETA'# Client '🌿  Jaka to melodia?🌿 BETA; started music quiz. 
18.11.2020 18:27:09: '🌿  Jaka to melodia?🌿 BETA'# Client 'NeaK; quessed!. 
18.11.2020 18:27:10: '🌿  Jaka to melodia?🌿 BETA'# Client '🌿  Jaka to melodia?🌿 BETA; passed song. 
18.11.2020 18:27:11: '🌿  Jaka to melodia?🌿 BETA'# Client '🌿  Jaka to melodia?🌿 BETA; started music quiz. 
18.11.2020 18:27:27: '🌿  Jaka to melodia?🌿 BETA'# Client 'NeaK; started music quiz. 
18.11.2020 18:28:59: '🌿  Jaka to melodia?🌿 BETA'# Client 'NeaK; quessed!. 
18.11.2020 18:29:00: '🌿  Jaka to melodia?🌿 BETA'# Client '🌿  Jaka to melodia?🌿 BETA; passed song. 
18.11.2020 18:29:00: '🌿  Jaka to melodia?🌿 BETA'# Client '🌿  Jaka to melodia?🌿 BETA; started music quiz. 
18.11.2020 18:31:10: '🌿  Jaka to melodia?🌿 BETA'# Client '🌿  Jaka to melodia?🌿 BETA; passed song. 
18.11.2020 18:31:11: '🌿  Jaka to melodia?🌿 BETA'# Client '🌿  Jaka to melodia?🌿 BETA; started music quiz. 
18.11.2020 18:35:46: '🌿  Jaka to melodia?🌿 BETA'# Client 'NeaK; stopped music quiz. 
18.11.2020 20:45:13: '🌿  Jaka to melodia?🌿 BETA'# Client 'NeaK; started music quiz. 
18.11.2020 20:45:19: '🌿  Jaka to melodia?🌿 BETA'# Client 'NeaK; stopped music quiz. 
18.11.2020 20:46:01: '🌿  Jaka to melodia?🌿 BETA'# Client 'NeaK; stopped music quiz. 
18.11.2020 20:46:29: '🌿  Jaka to melodia?🌿 BETA'# Client 'NeaK; stopped music quiz. 
18.11.2020 20:47:33: '🌿  Jaka to melodia?🌿 BETA'# Client 'NeaK; stopped music quiz. 
18.11.2020 20:48:50: '🌿  Jaka to melodia?🌿 BETA'# Client 'NeaK; stopped music quiz. 
18.11.2020 20:49:03: '🌿  Jaka to melodia?🌿 BETA'# Client 'NeaK; stopped music quiz. 
18.11.2020 20:49:29: '🌿  Jaka to melodia?🌿 BETA'# Client 'NeaK; stopped music quiz. 
18.11.2020 21:00:10: '🌿  Jaka to melodia?🌿 BETA'# Client 'NeaK; stopped music quiz. 
18.11.2020 21:00:46: '🌿  Jaka to melodia?🌿 BETA'# Client 'NeaK; stopped music quiz. 
18.11.2020 21:01:58: '🌿  Jaka to melodia?🌿 BETA'# Client 'NeaK; stopped music quiz. 
18.11.2020 21:02:21: '🌿  Jaka to melodia?🌿 BETA'# Client 'NeaK; stopped music quiz. 
18.11.2020 21:04:24: '🌿  Jaka to melodia?🌿 BETA'# Client 'NeaK; stopped music quiz. 
18.11.2020 21:06:59: '🌿  Jaka to melodia?🌿 BETA'# Client 'NeaK; stopped music quiz. 
18.11.2020 21:08:28: '🌿  Jaka to melodia?🌿 BETA'# Client 'NeaK; stopped music quiz. 
18.11.2020 21:08:45: '🌿  Jaka to melodia?🌿 BETA'# Client 'NeaK; stopped music quiz. 
18.11.2020 21:09:06: '🌿  Jaka to melodia?🌿 BETA'# Client 'NeaK; stopped music quiz. 
18.11.2020 21:10:10: '🌿  Jaka to melodia?🌿 BETA'# Client 'NeaK; stopped music quiz. 
18.11.2020 21:10:22: '🌿  Jaka to melodia?🌿 BETA'# Client 'NeaK; stopped music quiz. 
18.11.2020 21:11:11: '🌿  Jaka to melodia?🌿 BETA'# Client 'NeaK; stopped music quiz. 
18.11.2020 21:12:40: '🌿  Jaka to melodia?🌿 BETA'# Client 'NeaK; stopped music quiz. 
18.11.2020 21:13:47: '🌿  Jaka to melodia?🌿 BETA'# Client 'NeaK; stopped music quiz. 
18.11.2020 21:15:24: '🌿  Jaka to melodia?🌿 BETA'# Client 'NeaK; stopped music quiz. 
18.11.2020 21:16:17: '🌿  Jaka to melodia?🌿 BETA'# Client 'NeaK; stopped music quiz. 
18.11.2020 21:16:35: '🌿  Jaka to melodia?🌿 BETA'# Client 'NeaK; stopped music quiz. 
18.11.2020 21:17:13: '🌿  Jaka to melodia?🌿 BETA'# Client 'NeaK; stopped music quiz. 
18.11.2020 21:18:10: '🌿  Jaka to melodia?🌿 BETA'# Client 'NeaK; stopped music quiz. 
18.11.2020 21:18:27: '🌿  Jaka to melodia?🌿 BETA'# Client 'NeaK; stopped music quiz. 
18.11.2020 21:18:56: '🌿  Jaka to melodia?🌿 BETA'# Client 'NeaK; stopped music quiz. 
18.11.2020 21:21:02: '🌿  Jaka to melodia?🌿 BETA'# Client 'NeaK; stopped music quiz. 
18.11.2020 21:45:47: '🌿  Jaka to melodia?🌿 BETA'# Client '🌿  Jaka to melodia?🌿 BETA; passed song. 
18.11.2020 21:45:48: '🌿  Jaka to melodia?🌿 BETA'# Client '🌿  JTS🌿 NeaK's BOT1; started music quiz. 
18.11.2020 21:45:50: '🌿  Jaka to melodia?🌿 BETA'# Client '🌿  Jaka to melodia?🌿 BETA; passed song. 
18.11.2020 21:45:50: '🌿  Jaka to melodia?🌿 BETA'# Client '🌿  JTS🌿 NeaK's BOT1; started music quiz. 
18.11.2020 21:45:50: '🌿  Jaka to melodia?🌿 BETA'# Client '🌿  Jaka to melodia?🌿 BETA; started music quiz. 
18.11.2020 21:45:51: '🌿  Jaka to melodia?🌿 BETA'# Client '🌿  Jaka to melodia?🌿 BETA; started music quiz. 
18.11.2020 21:53:21: '🌿  Jaka to melodia?🌿 BETA'# Client 'Mała Kaczusia; started music quiz. 
18.11.2020 21:56:11: '🌿  Jaka to melodia?🌿 BETA'# Client 'NeaK; passed song. 
18.11.2020 21:56:12: '🌿  Jaka to melodia?🌿 BETA'# Client '🌿  Jaka to melodia?🌿 BETA; started music quiz. 
18.11.2020 21:57:26: '🌿  Jaka to melodia?🌿 BETA'# Client 'NeaK; passed song. 
18.11.2020 21:57:27: '🌿  Jaka to melodia?🌿 BETA'# Client '🌿  Jaka to melodia?🌿 BETA; started music quiz. 
18.11.2020 21:59:07: '🌿  Jaka to melodia?🌿 BETA'# Client 'NeaK; quessed!. 
18.11.2020 21:59:08: '🌿  Jaka to melodia?🌿 BETA'# Client '🌿  Jaka to melodia?🌿 BETA; passed song. 
18.11.2020 21:59:09: '🌿  Jaka to melodia?🌿 BETA'# Client '🌿  Jaka to melodia?🌿 BETA; started music quiz. 
18.11.2020 22:00:45: '🌿  Jaka to melodia?🌿 BETA'# Client '🌿  Jaka to melodia?🌿 BETA; passed song. 
18.11.2020 22:00:46: '🌿  Jaka to melodia?🌿 BETA'# Client '🌿  Jaka to melodia?🌿 BETA; started music quiz. 
18.11.2020 22:02:04: '🌿  Jaka to melodia?🌿 BETA'# Client 'NeaK; passed song. 
18.11.2020 22:02:05: '🌿  Jaka to melodia?🌿 BETA'# Client '🌿  Jaka to melodia?🌿 BETA; started music quiz. 
